timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp,frametime_ms
1759848641.2751603,19.0,29.0,39.0,54.0,0.0929
1759848641.3754947,15.3,29.0,39.0,54.0,773.8262999999998
1759848641.4760218,19.8,29.0,39.0,54.0,773.8262999999998
1759848641.5765183,21.6,29.0,39.0,54.0,773.8262999999998
1759848641.6770475,24.0,28.9,39.0,54.0,773.8262999999998
1759848641.7775998,21.2,29.0,39.0,54.0,0.0952
1759848641.8782136,13.3,29.0,37.0,54.0,0.0871
1759848641.9786427,21.0,29.0,37.0,54.0,0.0906
1759848642.0791416,18.0,29.0,37.0,54.0,0.0906
1759848642.1797256,19.0,29.0,37.0,54.0,349.4772
1759848642.2801971,15.3,29.0,37.0,54.0,349.4772
1759848642.3806963,19.4,29.0,37.0,54.0,0.0905
1759848642.481226,17.6,29.0,37.0,54.0,0.1402
1759848642.5820036,20.8,29.0,37.0,54.0,0.1059
1759848642.6827,19.6,28.9,37.0,54.0,306.181
1759848642.78344,15.5,28.9,37.0,54.0,306.181
1759848642.8837843,16.5,28.9,40.0,54.0,0.0883
1759848642.9841564,18.4,29.0,40.0,54.0,0.0941
1759848643.0846632,15.9,29.0,40.0,54.0,0.0938
1759848643.1852896,17.5,29.0,40.0,54.0,0.0938
1759848643.2857137,16.5,29.0,40.0,54.0,0.0938
1759848643.3859618,19.0,29.0,40.0,54.0,0.0938
1759848643.486264,14.3,29.0,40.0,54.0,817.9989
1759848643.5865507,19.4,29.0,40.0,54.0,817.9989
1759848643.687029,21.3,28.9,40.0,54.0,817.9989
1759848643.787373,22.4,28.9,40.0,54.0,817.9989
1759848643.8882213,20.4,29.0,39.0,54.0,0.0947
1759848643.9886713,19.2,29.0,39.0,54.0,0.0942
1759848644.0890205,22.1,29.0,39.0,54.0,0.1033
1759848644.1897757,16.5,29.0,39.0,54.0,0.1033
1759848644.2903476,18.9,29.0,39.0,54.0,0.1033
1759848644.3908825,16.0,29.0,39.0,54.0,0.1033
1759848644.491176,19.2,29.0,39.0,54.0,821.8667
1759848644.5919178,17.0,29.0,39.0,54.0,821.8667
1759848644.6924195,22.0,28.9,39.0,54.0,821.8667
1759848644.7929282,16.4,28.9,39.0,54.0,821.8667
1759848644.8935542,21.8,29.0,38.0,54.0,0.0897
1759848644.994039,15.7,29.0,38.0,54.0,0.1072
1759848645.094417,18.8,29.0,38.0,54.0,0.0971
1759848645.1948512,22.1,29.0,38.0,54.0,0.0971
1759848645.2954962,18.1,29.0,38.0,54.0,0.0971
1759848645.3960173,19.2,29.0,38.0,54.0,0.0971
1759848645.4965138,20.7,29.0,38.0,54.0,825.0476
1759848645.596889,14.1,29.0,38.0,54.0,825.0476
1759848645.697347,28.1,28.9,38.0,54.0,825.0476
1759848645.7978654,18.0,29.0,38.0,54.0,825.0476
1759848645.898495,17.7,29.0,39.0,54.0,0.1035
1759848645.9991643,12.9,29.0,39.0,54.0,0.0962
